Wavelength (nm),Si100_2_n,Si100_2_k
7.60E+02,3.711678,8.04E-03
7.62E+02,3.708672,7.67E-03
7.64E+02,3.70618,7.17E-03
7.66E+02,3.705558,6.50E-03
7.68E+02,3.705832,5.89E-03
7.70E+02,3.705388,5.68E-03
7.72E+02,3.702825,6.27E-03
7.74E+02,3.699871,6.94E-03
7.76E+02,3.69763,7.04E-03
7.78E+02,3.695926,6.75E-03
7.80E+02,3.694398,6.30E-03
7.82E+02,3.692906,5.79E-03
7.84E+02,3.691379,5.45E-03
7.86E+02,3.689545,5.62E-03
7.88E+02,3.687587,6.19E-03
7.90E+02,3.685773,7.03E-03
7.92E+02,3.684309,8.14E-03
7.94E+02,3.68317,8.90E-03
7.96E+02,3.682779,8.32E-03
7.98E+02,3.682615,6.91E-03
8.00E+02,3.681818,5.48E-03
8.02E+02,3.67956,4.61E-03
8.04E+02,3.677101,4.21E-03
8.06E+02,3.675498,4.81E-03
8.08E+02,3.674399,5.94E-03
8.10E+02,3.67314,6.88E-03
8.12E+02,3.671235,7.04E-03
8.14E+02,3.669333,6.83E-03
8.16E+02,3.667993,6.15E-03
8.18E+02,3.66696,5.29E-03
8.20E+02,3.665732,4.68E-03
8.22E+02,3.663865,4.74E-03
8.24E+02,3.662265,5.01E-03
8.26E+02,3.662201,5.26E-03
8.28E+02,3.662755,5.43E-03
8.30E+02,3.662286,5.48E-03
8.32E+02,3.65927,5.30E-03
8.34E+02,3.656372,5.01E-03
8.36E+02,3.654757,4.64E-03
8.38E+02,3.655589,4.23E-03
8.40E+02,3.660034,3.82E-03
